created;sku;quantity;amount;name
"2020-11-16 16:37:18.129";"129265";"1";"6859";"Jarra Santa menaje"
"2020-11-16 16:38:21.603";"127855";"2";"8009";"Organizador sobre microondas 1 nivel"
"2020-11-16 16:38:21.603";"105799";"1";"9531";"Balanza electrónica vidrio"
"2020-11-16 18:28:03.474";"129902";"2";"1186";"Cinta decorativa estampada puntos dorados"
"2020-11-16 18:28:03.474";"9901606";"1";"24811";"COMBO Árbol navidad 210cm 864 ramas + Set x 50 bolas 4cm doradas + Estrella para punta de árbol dorada + Luces Arroz Blanco x100 luces"
"2020-11-16 19:19:28.683";"131999";"2";"238559";"Televisor LG 43"" 43UN7100PSA"
"2020-11-16 20:04:12.363";"9901607";"1";"24811";"COMBO Árbol navidad 210cm 864 ramas + Set x 50 bolas 4cm doradas + Estrella para punta de árbol dorada + Luces Arroz Multicolor x100 luces"
"2020-11-16 21:41:58.152";"128528";"1";"70479";"Ropero Capri con espejo Jacaranda"
"2020-11-16 21:41:58.152";"114674";"2";"2260";"Bajada De cama 60x90 rojo cerezo"
"2020-11-16 21:41:58.152";"114673";"1";"2260";"Bajada de cama Gris Niebla 60x90cm"
"2020-11-17 05:54:29.311";"110426";"2";"101039";"Piscina estructural 366cm 6473L Steel Pro"
"2020-11-17 06:06:41.727";"76162";"1";"114409";"Piscina estructural 400x211x81cm Splash Frame 5700 litros"
"2020-11-17 09:16:43.264";"131999";"2";"238559";"Televisor LG 43"" 43UN7100PSA"
"2020-11-17 11:01:41.082";"129310";"10";"1014";"Set x 2 lazos Rojos"
"2020-11-17 11:01:41.082";"129413";"10";"1014";"Set x 2 lazos dorados"
"2020-11-17 12:49:49.622";"24281";"1";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-11-17 13:30:55.169";"9901606";"1";"24811";"COMBO Árbol navidad 210cm 864 ramas + Set x 50 bolas 4cm doradas + Estrella para punta de árbol dorada + Luces Arroz Blanco x100 luces"
"2020-11-17 16:19:09.961";"94790";"1";"72389";"Armario Rattan Multiusos Keter"
"2020-11-17 16:19:09.961";"84456";"1";"20055";"Techo Policarbonato Makrolon Light Bronce 6 mm 2.90x1.05 metros"
"2020-11-17 18:05:35.893";"116593";"2";"62839";"Ropero Cali Almendra"
"2020-11-17 18:05:35.893";"95036";"1";"4183";"Espejo básico Marrón 123.5 x 33.5 cm"
"2020-11-17 21:11:17.079";"22666";"1";"9531";"Pedestal Universal Blanco"
"2020-11-17 21:11:17.079";"22380";"1";"8805";"Lavatorio Fontana Blanco"
"2020-11-17 21:11:17.079";"119253";"1";"67805";"Inodoro One Piece Savona Lux blanco"
"2020-11-17 21:11:17.079";"38013";"1";"114409";"Inodoro One Piece Mediterráneo + Asiento Blanco"
"2020-11-17 22:44:32.385";"128528";"1";"70479";"Ropero Capri con espejo Jacaranda"
"2020-11-17 23:47:12.855";"128833";"1";"227156";"Cocina empotrable Aosta 90PRO Negra 90cm"
"2020-11-18 11:46:05.033";"76161";"1";"85759";"Piscina estructural Splash Frame 300x201x66c 3300 litros"
"2020-11-18 14:43:12.003";"126849";"1";"108755";"Estufa de patio"
"2020-11-18 18:51:44.362";"111469";"4";"6462";"Pared graficada Incanto Azurro 20x61cm"
"2020-11-18 20:17:05.526";"107806";"2";"3801";"Zapatera de Madera"
"2020-11-18 20:27:01.758";"128836";"1";"186989";"Cocina empotrable Aosta 60PRO Negra 60cm"
"2020-11-18 21:37:27.713";"128833";"1";"227156";"Cocina empotrable Aosta 90PRO Negra 90cm"
"2020-11-24 17:55:42.404";"117060";"1";"3801";"Lámpara de mesa LED Begonia"
"2020-12-02 23:23:58.589";"116140";"1";"9531";"Afilador de cuchillos Wayu"
"2020-12-02 23:23:58.589";"125502";"1";"7755";"Piedra p/afilar combinada 10mm / 4"""
"2020-12-02 23:23:58.589";"125548";"1";"11365";"Afilador"
"2020-12-03 11:43:07.519";"129342";"1";"676";"Guirnalda navidad roja"
"2020-12-03 11:58:53.827";"129314";"1";"676";"Guirnalda navidad dorada"
"2020-12-03 12:13:06.278";"113541";"1";"45649";"Piscina estructural Steel Pro 221x150x43cm 1200 litros"
"2020-12-03 12:13:06.278";"9901580";"1";"5711";"COMBO Linterna metálica 1W 2AA + Pila Duracell AAx2"
"2020-12-03 12:13:06.278";"83842";"1";"4374";"Pilas Duracell AAA x8 unidades"
"2020-12-03 12:13:06.278";"83839";"1";"4183";"Pilas Duracell AA x8 unidades"
"2020-12-03 12:17:12.336";"114790";"140";"6572";"Piso Porcelanato Liso Beige Nano Sur 60x60cm"
"2020-12-03 17:18:07.865";"131893";"1";"63011";"Caja china mediana Jr Black Galvaniz"
"2020-12-03 20:24:46.097";"120688";"3";"1891";"Repisa metálica Diamante 40x40x10cm Orange"
"2020-12-04 09:15:06.834";"10296";"2";"17171";"Ducha española Relax Neu"
"2020-12-04 09:15:06.834";"33429";"2";"42001";"Inodoro One Piece Ártico Blanco"
"2020-12-04 09:15:06.834";"33432";"2";"7048";"Pedestal Ártico Blanco"
"2020-12-04 09:15:06.834";"33431";"2";"12014";"Lavatorio Ártico Blanco"
"2020-12-04 17:23:45.313";"110285";"1";"120139";"Mueble de cocina Chloe 15 mm"
"2020-12-04 20:32:58.434";"73041";"1";"17171";"Llave de lavadero al mueble Krom"
"2020-12-04 20:32:58.434";"24693";"1";"51379";"Tablero para ovalín con base de acero"
"2020-12-04 20:32:58.434";"83690";"1";"19081";"Ducha eléctrica multitemperatura Top Jet"
"2020-12-04 20:32:58.434";"110285";"1";"120139";"Mueble de cocina Chloe 15 mm"
"2020-12-04 20:32:58.434";"116206";"1";"45821";"Mueble despensero para cocina 2 puertas"
"2020-12-05 01:16:58.956";"96712";"1";"36271";"Mueble despensero de cocina 12 mm"
"2020-12-05 01:16:58.956";"129272";"2";"4573";"Letrero redondo Pared"
